Gene	Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mp1g00070		152.670779594456	-0.514232963082992	0.240656071995778	-2.1367961290917	0.0326145771226498	0.142880752171371
Mp1g00080		3669.15936558154	-0.312602658551268	0.0693728764117145	-4.50612220107513	6.60230741984983e-06	0.000288124847062576
Mp1g00090	[MpATG14]: Autophagy protein	308.266855107986	0.142795853107695	0.105607604954715	1.35213608119346	0.176331786762522	0.42676398297166
Mp1g00100	[MpRRT2]: RG-I rhamnosyltransferases	529.230629910325	0.0122722430863379	0.0919380327689616	0.13348385555712	0.89381073140852	0.986967140193345
Mp1g00110		205.07220120117	-0.0282439759462342	0.131975393251416	-0.214009409257291	0.830539719639901	0.951884406736745
Mp1g00120		325.705873466298	0.132069573693424	0.110343848817883	1.19689112812621	0.231348992615108	0.500963056503127
Mp1g00140		1404.81285702712	-0.0774459424234604	0.0545171001595767	-1.42058073882816	0.155438681270333	0.396470441714729
Mp1g00160		488.279807252572	0.33873534803517	0.104540160888414	3.24024131163082	0.00119428582704771	0.0147563846405421
Mp1g00170		194.971151871475	0.288062240482249	0.134223691680073	2.1461355806608	0.0318621632862721	0.140601164036926
Mp1g00180		75.646395319771	-0.110843943665175	0.2319042071265	-0.477972974439019	0.63266944051359	0.84489573777416
Mp1g00190	[MpCE8.1]: Cell wall related protein	490.036869645168	-0.144743281493221	0.0958729670238177	-1.50974029475131	0.131109705096246	0.355081090404147
Mp1g00210	[MpRLK-Pelle_SD-2b]: Receptor-like Kinase (RLK)	701.707180570296	0.109402576128875	0.11059017030993	0.989261304348054	0.322535311223406	0.601186760272901
Mp1g00220		566.254026838823	0.173702370857722	0.0776423757951953	2.23721091837675	0.025272558093676	0.119842096533606
Mp1g00230		1366.51314478534	-0.0202015254454906	0.0588387668537042	-0.343336995755186	0.73134495182876	0.900550723694719
Mp1g00240		24.1256824336325	0.565870943357624	0.36224364255319	1.56212801795282	0.11825783366519	0.332814387160595
Mp1g00250		2486.53857465545	-0.134300108809261	0.0544658607823577	-2.46576675517745	0.0136720330287739	0.0785937533937328
Mp1g00270	[MpLOG]: Hormone related protein, cytokinin related protein, cytokinin related protein biosynthesis	285.614018838252	-0.0878095318921533	0.17379716893362	-0.505241439955166	0.613389267645754	0.833383946691138
Mp1g00280		0.947510403243558	-0.019364587776815	2.0374432848568	-0.00950435672037664	0.992416734682214	1
Mp1g00290		129.553213847107	0.0162502884441751	0.164110671710944	0.0990203030354875	0.921122149834143	1
Mp1g00300		2.70384590611135	0.360906764324515	1.40868874848219	0.256200501859178	0.797796021132038	0.935735694344823
Mp1g00310		70.6996129547817	-0.44394023197536	0.385337626383429	-1.15208119212739	0.249287710973602	0.522458409601649
Mp1g00320	[MpACOS14]: Acyl-CoA synthase, Secondary metabolism enzyme	503.244902683784	0.268784990765155	0.114151214630412	2.35463977878292	0.0185406691379214	0.0975080729397077
Mp1g00330		93.0471300412202	-0.76328548457607	0.280259768678135	-2.72349288010962	0.0064595607926358	0.0468493275215071
Mp1g00340	[MpDRMa]: DOMAINS REARRANGED METHYLASE, DNA (cytosine-5-)-methyltransferase	388.899174728191	0.00894401081915826	0.138232775818793	0.0647025335791766	0.948410845547329	1
Mp1g00360		444.128197668648	1.52484295766941	0.197446156662521	7.72282926871911	1.13775526988904e-14	6.03520321265627e-12
Mp1g00370		396.470862078758	0.0203046969290905	0.0850608718322436	0.238707839359268	0.811332137536047	0.941443936917629
Mp1g00380		786.562911151956	0.0507580049990126	0.130318612805914	0.389491599903749	0.696912523364544	0.882069265676651
Mp1g00390		3.56875445691882	0.675769667507758	0.96955402964769	0.696990210801676	0.485808920085568	0.74601757862163
Mp1g00400		649.623965807154	0.0732418955578213	0.0693279731080978	1.05645516916557	0.290760312317743	0.567609883805056
Mp1g00410		101.344909049537	0.198867927702327	0.179667245851688	1.10686801458786	0.268350996619267	0.543664346239193
Mp1g00420		453.197682066414	-0.0524924506552997	0.103474488197929	-0.507298480712372	0.611945404438378	0.832395097398141
Mp1g00430		281.126362978653	-0.106669568908185	0.105925632812019	-1.00702319237012	0.31392362913436	0.592671476064539
Mp1g00440		410.685503840291	0.0864314157720639	0.128299858754048	0.673667271432885	0.500522873925664	0.757829071810876
Mp1g00460		1.88569731672995	3.38064792514177	2.16573927655928	1.56096717722764	0.118531495472192	0.33309645503265
Mp1g00470		3.88188938791505	3.43189232667202	1.56242725823155	2.19651334715988	0.0280552208957323	0.128786081370629
Mp1g00480	[MpFLV3]: flavodiiron proteins	1219.95247556864	0.107504952164971	0.0925016984062411	1.16219435985748	0.245156525167389	0.517388232494162
Mp1g00490	[MpCYP710A16]: Cytochrome P450, Secondary metabolism enzyme, sterol biosynthesis	1124.59227854162	0.0565263724228783	0.136125537747523	0.415251784185565	0.677957593661191	0.87075408393505
Mp1g00510	[MpLSD]: transcription factor, LSD	131.597126653534	-0.0306304782907163	0.148387205065119	-0.206422637836425	0.836460789161035	0.954900218556078
Mp1g00530	[MpC3H1]: transcription factor, C3H	360.359181726109	-0.265573619036183	0.105755506706622	-2.51120369337282	0.0120320247929981	0.0719629227802061
Mp1g00540		826.012115510126	0.0707656214125654	0.0827791065264513	0.854872979209469	0.392621470911535	0.666485995037755
Mp1g00550		318.262418329275	0.0663180569899137	0.110326171535141	0.601109021251498	0.547767375170177	0.796201964289411
Mp1g00560		512.120427986863	0.237412920623814	0.142859237848515	1.66186607320111	0.0965396305374159	0.291647513070909
Mp1g00570		900.318402640192	-0.040451403351326	0.0907584519275488	-0.44570398119635	0.655811088396519	0.858696797939665
Mp1g00600		81.1716858486209	0.375633292245838	0.287768373042172	1.30533209148314	0.191779791035188	0.448961283114104
Mp1g00610		0.481264740473567	0	3.05548979643579	0	1	1
Mp1g00620		632.487025847238	-0.22303571110617	0.126531323588881	-1.76269167807685	0.0779525050925915	0.255191186601263
Mp1g00630		76.7271434612182	-0.305546944901956	0.189636584911289	-1.61122362040473	0.10713099131738	0.31220347471341
Mp1g00640		412.193755126036	-0.305112896723342	0.133914427365785	-2.27841691687133	0.0227017494348523	0.111971965151527
Mp1g00650		183.415073469052	0.0839219782434425	0.121948946619168	0.688173047574743	0.491343814522202	0.750583542178296
Mp1g00660		2.03354433800137	-1.25096383932233	1.36614887937039	-0.915686319560465	0.359831442369154	0.63777080802245
Mp1g00680		453.159718114434	-0.0802102766899929	0.112278435977884	-0.71438719279802	0.474987789183705	0.737915401192826
Mp1g00690	[MpLIME]: lipid droplets associated protein	1329.51012441812	-0.0855837166109991	0.0878104584084837	-0.97464149672097	0.329738122092094	0.608197774947048
Mp1g00700		246.174594341693	0.953636306463175	0.257535749230126	3.70292788210554	0.000213125482129583	0.00427796937635865
Mp1g00710	[MpCEN1]: centrin	846.203222864797	0.11061367008092	0.0808208334328167	1.36862817893197	0.171115530994616	0.418751227058571
Mp1g00720		196.466345002734	0.131654464303839	0.124849658574625	1.05450399950551	0.291652230483882	0.568572240996723
Mp1g00730		93.330826838488	0.20481886399142	0.179849748916751	1.13883319395807	0.254772734036084	0.529718094010655
Mp1g00740		13.1573471673055	0.0067017357464388	0.46368069609819	0.0144533421443528	0.988468302945938	1
Mp1g00750		7.72325267393186	0.219819709448369	0.729831806861765	0.301192284827351	0.763267872654462	0.918272198920689
Mp1g00760		1.55691587081487	-0.618635804596734	1.55133130877473	-0.398777360514526	0.690057260023577	0.878058574723495
Mp1g00770		267.070459777186	0.830720645926289	0.184996744358178	4.49046089328959	7.10692231111914e-06	0.000304528651565308
Mp1g00800		2.57540374509089	-1.86290420990095	1.31425465786151	-1.41746061066443	0.156348302770327	0.397603891802932
Mp1g00810		466.761002285133	-0.703637285993281	0.219151458292744	-3.21073513028308	0.00132395905592247	0.0157391515898418
Mp1g00820		2742.3175049624	-0.149660954356921	0.0667214544472349	-2.24307092219156	0.0248922414194531	0.118552018009886
Mp1g00830		1054.04777092092	-0.0872985474804387	0.0707569914866202	-1.2337798095464	0.217284964955567	0.482038927473263
Mp1g00840		963.959942581528	-0.0984637306281879	0.0675621910023188	-1.45737918157226	0.145011740513437	0.380149216823143
Mp1g00850		1604.42240256448	0.115273527232991	0.0898856972756002	1.28244571413346	0.199686336617487	0.458379884826637
Mp1g00870		0.598926604019586	-3.17339865296237	2.97554078938163	-1.0664947576208	0.286200047237256	0.56234708476826
Mp1g00880		428.064151054524	-0.0752234306069547	0.107655436941732	-0.698742513558969	0.484712960146128	0.745186834492094
Mp1g00890		3.80494177700109	-0.983522064315069	0.98067047986971	-1.00290779064313	0.315905353364799	0.594817752276561
Mp1g00910		541.421124194004	-0.0881641203337768	0.0914244963521443	-0.964338047804941	0.334876471277305	0.613335487279293
Mp1g00920		12450.610060004	0.140872498213108	0.0939430594303214	1.49955195271871	0.133730501556084	0.35926935128139
